898 6 3 10
259	119606.0653 0	10 0	1 1	10 0	90 18	93
0	28490	6	1	4	2	61
1	23310	4	1	8	25	60
0	16835	5	0	4	2	26
1	34965	5	1	8	30	27
1	4662	2	1	7	0	28
0	5827.5	9	1	5	2	62
0	42735	8	1	3	3	44
2	42735	6	0	4	1	24
2	14245	6	1	4	1	36
2	12302.5	7	0	3	20	29
0	62160	9	1	10	7	48
2	23310	6	0	4	14	37
2	5827.5	4	0	5	4	25
0	4662	5	1	5	1	37
1	28490	5	1	10	4	52
0	11007.5	5	0	6	1	27
1	11007.5	6	0	5	1	25
1	28490	6	1	4	1	50
0	34965	4	1	10	1	50
0	42735	5	1	5	4	26
1	51800	6	1	2	14	60
0	62160	9	1	5	3	52
0	19425	6	0	3	16	56
0	51800	3	1	3	1	76
1	14245	6	1	4	2	63
0	119606.0653	8	1	5	1	44
1	72520	10	1	3	25	46
1	72520	4	1	5	6	29
1	51800	5	1	4	1	73
1	34965	9	0	5	7	40
1	62160	9	1	6	4	46
0	34965	7	1	4	8	66
1	11007.5	7	1	5	0	67
1	28490	10	1	5	5	62
2	19425	7	1	5	5	59
1	34965	9	1	7	10	40
0	119606.0653	6	1	2	10	38
0	4662	6	0	5	1	21
1	28490	2	1	6	25	30
2	119606.0653	10	1	2	0	61
0	119606.0653	8	1	4	1	37
0	34965	7	1	5	1	50
1	16835	2	1	6	0	56
1	7122.5	0	0	4	1	46
1	72520	8	1	5	10	48
2	42735	7	1	4	20	67
1	72520	6	1	6	2	50
1	119606.0653	5	1	10	7	58
1	119606.0653	6	1	4	2	58
0	119606.0653	7	1	4	35	52
0	23310	9	1	9	10	49
1	42735	8	1	3	1	62
2	42735	5	1	5	0	51
1	23310	6	1	6	5	40
2	34965	6	1	5	1	53
1	62160	6	1	5	30	38
1	14245	5	0	5	2	21
1	51800	6	1	8	5	68
0	12302.5	6	1	5	0	61
2	119606.0653	9	1	10	30	47
0	11007.5	4	1	5	0	39
2	119606.0653	9	1	4	0	65
1	8417.5	9	1	4	1	54
1	119606.0653	8	1	10	1	41
2	62160	7	1	3	7	31
0	11007.5	3	1	5	1	48
1	23310	10	0	5	20	37
0	11007.5	5	1	5	0	42
2	4662	6	1	10	30	32
0	23310	6	1	10	2	51
0	28490	7	1	5	0	31
1	23310	5	1	7	2	40
1	28490	4	1	5	2	69
1	14245	7	1	6	1	62
0	3367	5	1	10	1	23
2	51800	7	1	3	40	45
1	5827.5	4	1	5	4	63
2	42735	6	1	2	0	61
0	1036	9	0	6	2	20
0	2849	8	0	7	7	40
1	16835	6	1	5	2	25
1	19425	7	1	5	2	68
2	28490	8	1	4	2	25
0	23310	9	0	5	2	37
0	9712.5	10	1	5	5	58
0	51800	9	1	5	1	45
0	9712.5	5	0	6	5	22
2	34965	5	1	5	9	45
0	34965	9	1	3	3	77
1	19425	5	0	5	0	24
0	72520	6	1	10	20	54
2	42735	7	1	3	1	39
1	28490	8	1	6	14	33
0	23310	6	1	5	12	39
1	19425	7	1	5	0	67
1	34965	6	1	8	15	65
2	9712.5	3	1	5	4	52
1	23310	7	0	6	1	34
0	14245	6	1	5	0	74
1	23310	7	1	7	1	81
2	62160	6	1	5	2	53
1	16835	6	0	10	12	31
0	34965	2	1	5	0	67
1	1036	8	1	5	2	54
1	8417.5	6	1	8	2	27
2	4662	4	1	5	10	32
2	14245	5	1	5	0	68
2	19425	5	1	5	0	60
1	12302.5	2	1	3	0	70
0	16835	10	1	5	20	60
1	12302.5	4	1	4	2	49
2	51800	6	1	4	10	37
2	19425	8	1	5	0	67
2	28490	7	1	5	2	42
0	11007.5	6	1	6	1	65
2	28490	7	1	7	40	54
0	34965	4	1	3	0	76
0	62160	7	0	5	20	29
0	259	8	1	4	0	38
1	259	5	0	2	0	28
0	34965	4	1	5	0	24
1	1813	5	0	5	0	25
1	2849	6	0	5	10	23
1	4662	7	1	5	3	47
2	5827.5	9	0	3	4	23
2	42735	7	1	5	6	45
0	72520	10	1	4	2	78
0	11007.5	3	1	2	1	83
0	34965	8	0	3	20	26
0	8417.5	8	0	4	15	28
0	34965	7	0	4	5	21
1	72520	8	1	2	8	50
0	42735	7	0	5	3	28
0	7122.5	7	0	5	4	56
0	7122.5	7	1	7	0	74
1	7122.5	5	1	10	0	39
0	51800	6	0	7	60	32
2	72520	9	1	4	3	55
1	51800	7	1	5	20	33
2	51800	6	1	3	7	43
2	34965	5	1	3	1	47
1	7122.5	3	1	6	5	46
0	28490	9	1	4	4	83
2	62160	8	1	5	3	49
1	119606.0653	7	1	3	1	42
2	259	3	1	3	14	33
0	42735	7	1	5	10	36
2	16835	7	0	3	1	52
1	119606.0653	5	1	3	16	52
0	4662	4	1	7	7	51
0	119606.0653	8	1	5	21	59
1	42735	7	0	5	11	35
0	14245	3	1	6	0	75
0	51800	6	1	3	16	48
1	72520	6	1	4	1	49
0	23310	5	1	4	20	41
1	119606.0653	5	0	3	20	38
1	23310	8	1	6	2	52
1	28490	7	0	4	12	27
2	28490	6	0	3	1	30
0	23310	9	1	3	1	69
2	62160	7	1	5	1	80
0	23310	6	1	5	2	54
0	19425	4	1	3	40	28
0	42735	7	1	6	2	46
0	12302.5	5	0	3	15	49
2	51800	6	1	6	2	43
0	23310	8	1	5	3	69
1	16835	7	1	6	0	85
0	23310	6	1	5	10	55
0	8417.5	5	1	5	0	52
1	34965	8	1	4	30	31
1	62160	9	1	2	1	61
1	28490	10	1	5	1	48
0	34965	9	1	5	1	54
1	34965	10	1	5	8	48
2	9712.5	9	1	4	12	61
1	1036	9	0	4	7	24
1	23310	5	1	5	0	55
2	14245	2	0	6	0	27
2	28490	6	0	5	3	26
1	62160	9	1	10	2	60
1	34965	9	1	4	5	73
1	42735	4	1	5	1	46
2	72520	8	1	5	8	43
2	12302.5	6	1	4	0	51
0	1036	8	0	3	4	30
2	12302.5	6	0	5	2	23
1	12302.5	7	1	6	1	55
1	3885	6	1	6	1	23
1	1036	9	0	4	1	21
1	9712.5	5	0	5	2	29
1	259	2	1	4	1	29
1	34965	4	0	5	1	23
1	11007.5	2	1	2	1	40
1	51800	8	1	5	2	49
1	51800	9	1	6	10	59
1	23310	3	1	8	0	60
2	72520	5	1	3	25	34
1	23310	9	1	7	1	62
0	14245	9	1	7	2	61
1	119606.0653	9	1	2	20	52
1	34965	4	1	3	2	55
2	34965	8	1	4	2	60
2	34965	6	1	5	0	35
0	3367	5	0	4	30	21
1	7122.5	3	0	5	0	45
2	16835	10	1	4	8	47
2	42735	6	1	5	8	29
0	34965	5	0	5	0	51
2	7122.5	5	0	5	48	27
1	1813	7	0	5	20	20
2	8417.5	4	0	5	2	21
0	7122.5	5	1	5	1	48
0	16835	9	1	4	15	59
1	12302.5	1	1	6	0	41
0	23310	6	0	5	7	36
1	119606.0653	8	1	2	1	63
2	42735	6	0	5	3	32
2	42735	8	1	5	3	45
1	7122.5	3	1	6	0	30
2	62160	5	1	4	3	45
2	42735	6	1	2	10	56
2	4662	4	0	7	1	31
1	7122.5	3	1	8	1	43
2	19425	10	1	5	1	36
1	5827.5	3	1	5	0	38
1	42735	6	1	4	2	26
1	42735	9	1	3	4	61
2	28490	5	0	4	2	27
0	51800	7	1	3	5	60
1	42735	6	1	5	0	32
2	42735	6	1	2	2	46
1	12302.5	5	1	5	0	36
2	34965	6	1	5	10	30
1	23310	2	0	5	1	18
0	28490	6	0	4	30	32
1	34965	6	1	4	0	31
1	34965	5	1	4	2	67
1	28490	9	1	5	12	53
0	259	7	0	8	8	50
0	5827.5	6	1	7	3	59
0	34965	9	1	2	20	58
1	7122.5	9	1	7	1	43
0	19425	7	1	5	10	36
2	5827.5	9	0	5	4	22
2	62160	5	0	4	30	21
1	72520	7	1	4	13	62
2	51800	9	1	3	3	41
2	119606.0653	7	1	2	3	55
2	12302.5	7	1	4	0	25
0	3367	6	0	6	1	31
2	16835	6	1	4	1	79
1	34965	6	1	10	0	53
1	42735	6	1	4	7	35
2	34965	6	1	3	5	64
2	1036	5	0	2	20	19
1	42735	8	1	4	1	32
2	72520	6	1	4	1	29
0	1036	7	1	4	2	58
2	62160	9	1	7	25	49
1	119606.0653	9	1	10	5	63
2	62160	8	1	3	3	63
0	12302.5	8	1	6	1	88
0	62160	10	0	4	0	74
0	14245	7	1	5	0	59
1	1036	4	0	8	1	21
1	34965	6	1	6	12	42
1	34965	6	1	5	0	66
2	19425	7	1	5	0	73
1	119606.0653	8	1	5	1	45
1	119606.0653	9	1	3	18	56
1	23310	7	1	3	15	27
2	42735	6	1	4	8	38
1	34965	5	1	5	1	32
0	4662	7	0	2	1	32
1	28490	5	1	5	0	65
0	12302.5	7	0	5	2	43
1	28490	6	1	5	1	51
0	14245	6	1	7	0	26
0	51800	7	0	5	8	19
1	5827.5	7	0	6	1	25
2	12302.5	6	0	5	0	43
1	62160	5	1	3	0	63
0	42735	5	1	6	1	48
1	5827.5	7	0	6	0	21
1	12302.5	9	1	4	1	73
1	5827.5	8	0	5	1	26
1	119606.0653	7	1	2	4	68
2	119606.0653	10	1	5	7	53
2	72520	8	1	5	21	60
1	51800	5	1	4	25	40
1	34965	10	1	1	8	64
0	3885	9	0	4	1	23
1	28490	6	1	10	30	51
2	42735	5	1	5	3	42
2	34965	10	0	4	4	34
2	51800	8	1	5	7	30
2	28490	7	1	5	3	67
1	51800	9	1	3	1	40
2	34965	8	1	6	0	30
1	28490	10	1	4	2	65
0	119606.0653	10	1	4	4	74
1	5827.5	9	0	9	20	63
0	72520	10	1	3	10	44
0	12302.5	7	0	5	0	47
1	14245	7	1	4	1	61
1	34965	9	1	4	2	30
0	119606.0653	10	1	5	5	58
0	42735	8	1	5	7	26
2	34965	7	1	5	40	35
1	34965	6	1	4	1	41
1	9712.5	5	1	5	0	54
1	28490	6	1	5	0	75
1	19425	7	1	7	30	26
2	19425	5	1	5	0	43
0	34965	5	1	5	2	30
1	2331	5	0	4	0	21
2	28490	5	1	3	1	46
0	19425	6	1	5	2	60
0	7122.5	4	0	5	0	25
0	16835	7	1	8	0	56
1	7122.5	2	1	4	0	67
2	34965	3	0	4	0	37
1	34965	6	1	4	5	51
1	34965	6	1	4	0	49
1	62160	7	1	3	1	53
0	11007.5	4	0	5	0	30
0	42735	4	1	5	8	38
2	34965	6	1	5	0	48
1	14245	7	1	5	25	37
0	5827.5	5	0	5	1	25
0	34965	6	0	5	3	26
1	12302.5	6	0	4	2	25
0	62160	6	1	7	6	40
0	5827.5	3	1	10	0	62
2	23310	5	0	7	1	34
1	12302.5	6	1	5	0	49
0	3885	5	1	8	0	48
1	259	5	1	7	2	43
0	16835	5	1	4	10	35
0	42735	9	1	5	15	60
0	14245	6	1	5	1	25
2	12302.5	7	1	5	6	62
0	23310	8	0	6	15	24
2	34965	6	1	5	2	38
0	34965	6	1	5	2	40
1	14245	6	1	4	0	42
2	14245	8	1	4	3	74
1	28490	7	1	5	10	55
2	19425	6	0	8	7	29
2	62160	5	1	5	15	50
2	51800	7	1	5	4	50
1	62160	6	1	3	1	44
2	62160	7	1	3	10	60
2	119606.0653	8	1	4	20	62
1	42735	6	1	6	25	56
1	119606.0653	6	1	4	20	47
1	11007.5	3	0	5	0	29
1	259	5	1	5	0	73
1	28490	6	1	5	10	28
1	8417.5	7	1	10	2	66
2	28490	10	1	6	7	68
0	259	5	0	7	0	20
0	259	3	0	5	0	26
1	11007.5	6	0	10	1	32
2	7122.5	7	0	8	8	25
1	12302.5	6	1	5	2	63
1	7122.5	6	0	6	1	27
1	5827.5	4	0	6	1	38
2	42735	3	1	5	0	52
2	28490	4	1	10	2	52
0	5827.5	5	0	6	0	41
0	9712.5	6	0	10	1	39
0	51800	9	1	5	6	43
2	28490	7	1	6	2	66
1	28490	8	1	2	3	27
1	62160	10	1	4	0	66
0	42735	7	1	4	5	46
1	259	4	0	4	0	30
1	16835	10	1	5	2	52
2	62160	9	1	2	10	93
0	119606.0653	8	1	5	10	47
2	19425	6	1	3	2	48
2	42735	6	1	5	2	79
1	72520	7	1	4	30	38
1	34965	9	1	4	15	61
0	14245	5	1	6	7	37
1	23310	3	1	4	5	59
0	23310	10	0	5	6	46
0	16835	5	0	5	1	30
0	8417.5	4	1	10	0	47
2	34965	7	1	7	4	82
1	23310	6	1	4	10	43
0	1036	4	1	6	0	50
0	72520	10	1	3	5	47
1	42735	6	1	3	30	59
2	16835	8	1	10	10	64
0	42735	7	0	6	8	38
1	16835	5	0	5	0	50
0	42735	2	1	6	0	70
1	16835	7	0	2	10	26
2	119606.0653	8	0	3	3	24
0	119606.0653	7	0	2	1	19
2	119606.0653	8	1	3	2	44
0	119606.0653	6	1	3	10	54
1	42735	6	1	3	5	71
1	259	4	0	5	0	52
1	11007.5	6	1	6	5	28
2	28490	7	1	2	10	51
1	8417.5	3	1	7	2	55
0	12302.5	8	0	5	0	32
2	72520	7	0	4	15	43
1	23310	6	1	4	13	41
0	2331	6	0	8	10	41
0	19425	7	0	5	14	34
1	34965	10	1	5	5	38
2	28490	8	1	3	40	28
1	119606.0653	4	1	5	35	32
1	72520	6	1	3	2	50
2	23310	6	1	3	7	30
1	9712.5	6	0	5	0	27
2	23310	6	0	3	45	27
0	259	3	0	5	5	23
0	23310	5	1	5	0	57
1	11007.5	6	1	5	2	36
1	23310	9	1	4	0	63
0	72520	4	1	7	0	70
2	42735	6	1	4	10	31
0	23310	6	1	3	3	71
1	23310	8	1	7	5	41
1	51800	8	1	5	10	42
0	62160	7	1	5	2	34
0	19425	3	1	4	0	56
1	3885	2	1	5	0	49
2	19425	4	1	5	32	37
1	11007.5	1	1	6	0	45
2	14245	2	1	2	0	29
1	11007.5	7	1	5	0	48
1	23310	4	1	5	3	55
0	16835	7	1	10	0	43
0	14245	6	0	5	15	43
1	8417.5	6	1	10	0	48
1	2849	6	0	5	0	24
1	16835	6	1	5	1	53
0	9712.5	3	0	5	0	35
0	28490	7	1	5	4	37
0	12302.5	5	1	1	2	49
0	8417.5	2	0	5	1	23
2	12302.5	6	1	5	1	52
2	19425	6	1	5	2	52
1	119606.0653	7	1	7	1	58
0	23310	7	1	6	1	44
1	34965	6	1	9	10	49
1	119606.0653	7	1	4	20	51
1	62160	6	1	4	12	36
1	62160	6	1	5	5	60
1	11007.5	9	1	6	5	43
1	34965	5	1	4	2	73
1	23310	8	0	5	4	39
1	119606.0653	9	1	7	15	59
0	2331	6	1	8	0	43
2	3885	5	0	3	3	22
2	14245	6	1	5	4	71
2	34965	6	1	4	15	43
2	51800	4	1	6	3	66
2	19425	6	0	5	2	29
1	12302.5	7	1	4	0	43
0	42735	5	1	5	2	26
2	12302.5	5	1	2	6	38
0	5827.5	6	0	5	0	26
1	5827.5	6	1	8	0	44
2	9712.5	5	1	9	5	39
1	34965	6	1	4	4	39
1	28490	6	1	6	1	34
0	28490	8	1	4	0	57
0	34965	7	1	4	5	32
1	16835	6	1	3	1	84
2	8417.5	6	1	6	10	62
2	42735	5	1	4	0	35
2	62160	7	1	5	3	54
0	16835	7	1	5	0	35
2	12302.5	8	0	5	5	41
1	3367	10	0	7	2	26
1	9712.5	4	0	5	8	29
2	19425	5	1	4	1	28
2	42735	6	1	5	2	43
1	62160	8	1	5	20	32
1	5827.5	5	1	5	0	54
2	34965	4	1	5	5	72
0	23310	5	1	5	1	42
2	12302.5	8	1	3	5	67
2	51800	6	1	5	10	46
2	72520	6	1	4	8	39
2	14245	6	0	5	10	24
2	28490	7	1	5	3	44
0	4662	6	0	6	0	47
0	34965	5	1	4	5	61
0	28490	8	0	6	10	30
0	72520	6	1	4	10	56
0	16835	5	1	4	7	69
1	42735	6	1	3	3	50
2	72520	3	1	5	10	43
1	1036	8	1	4	4	23
1	9712.5	5	1	4	0	50
0	34965	8	1	5	4	41
0	23310	5	1	8	4	48
2	23310	9	1	5	6	60
0	51800	5	1	5	1	58
1	23310	8	1	6	3	90
0	8417.5	10	1	4	1	69
0	3367	4	0	7	40	24
1	19425	7	1	5	0	73
0	16835	10	1	4	14	66
2	72520	10	1	5	10	64
0	16835	6	1	6	10	32
2	51800	7	1	5	2	51
1	4662	4	1	6	0	56
1	259	6	1	1	3	54
0	42735	6	0	10	6	30
0	19425	5	0	5	0	30
0	28490	1	1	3	0	40
0	14245	7	1	3	0	87
1	8417.5	6	0	7	1	27
2	8417.5	5	1	6	1	37
2	42735	5	1	5	3	41
1	23310	9	1	4	5	67
1	19425	6	0	5	0	49
1	51800	4	1	6	1	54
2	72520	5	1	3	2	49
1	62160	7	1	3	2	64
0	19425	7	1	9	1	41
0	23310	6	1	5	0	34
0	42735	6	1	5	25	49
0	23310	9	0	5	4	56
0	14245	6	0	6	2	20
1	5827.5	2	1	8	5	63
1	7122.5	6	1	5	0	41
1	14245	4	0	4	8	20
0	16835	6	1	5	1	70
0	3885	8	0	6	1	20
0	28490	4	1	3	0	81
0	23310	8	1	5	5	71
2	62160	5	1	6	1	65
0	51800	9	0	3	6	59
0	23310	4	1	3	1	44
2	119606.0653	7	1	3	1	41
2	42735	6	1	5	15	52
2	23310	8	0	4	10	25
1	16835	4	1	7	28	75
1	72520	8	1	5	0	46
2	28490	7	1	3	2	79
1	16835	7	1	4	2	61
1	23310	10	0	4	1	59
1	34965	7	1	10	7	48
0	42735	9	1	5	2	59
2	19425	7	1	6	3	75
1	42735	7	1	5	1	51
2	19425	5	1	6	1	28
0	51800	9	1	5	2	44
1	16835	8	1	7	9	44
0	16835	5	1	5	1	62
1	5827.5	3	1	6	4	42
2	51800	7	1	4	1	29
1	72520	9	1	3	30	60
1	119606.0653	10	1	4	1	46
2	5827.5	7	0	7	5	27
2	34965	7	0	3	15	25
0	23310	8	0	5	3	25
0	62160	4	1	10	3	55
0	4662	4	0	3	10	24
1	72520	5	1	4	18	61
2	34965	9	1	4	0	55
2	72520	7	1	5	10	63
1	23310	10	1	3	0	66
1	119606.0653	9	1	5	14	56
0	119606.0653	8	1	3	0	58
1	62160	7	1	7	7	62
1	42735	7	1	5	0	55
0	9712.5	7	0	7	3	31
0	259	5	1	3	7	37
0	72520	8	0	3	45	48
0	62160	7	1	10	1	66
2	23310	8	0	4	2	30
1	14245	7	1	10	2	78
2	28490	4	1	4	2	52
2	16835	4	1	4	1	82
2	19425	6	1	4	0	82
1	51800	6	1	3	1	50
2	51800	7	1	3	0	37
1	23310	4	0	6	0	51
1	12302.5	5	1	8	0	27
2	42735	6	1	5	0	46
0	12302.5	8	1	6	3	40
2	16835	8	1	6	4	55
0	16835	3	1	6	0	63
1	9712.5	5	1	6	0	63
0	23310	6	1	4	3	72
2	42735	5	1	4	1	41
1	42735	3	1	5	0	61
0	42735	6	1	5	5	76
0	12302.5	6	1	10	7	49
2	23310	7	1	5	1	46
1	2849	8	1	8	1	53
1	16835	6	1	5	2	25
1	23310	6	1	5	0	42
2	28490	6	1	5	0	41
1	23310	6	1	6	8	35
2	23310	6	1	5	2	58
1	28490	5	1	3	4	53
1	19425	4	1	5	1	37
0	16835	5	1	5	1	36
0	23310	7	1	5	0	54
0	28490	4	0	6	0	23
1	12302.5	4	1	1	2	44
2	42735	10	1	4	0	34
0	12302.5	8	1	7	0	41
1	19425	6	1	8	1	38
0	19425	4	1	5	4	42
2	23310	8	1	5	0	72
1	72520	6	1	3	2	81
1	42735	7	1	4	10	45
2	62160	8	1	2	20	56
0	23310	7	0	6	2	40
2	23310	7	1	5	0	80
0	8417.5	6	1	7	10	62
2	42735	6	1	5	0	42
1	1036	4	1	5	2	32
0	51800	7	1	10	2	61
0	34965	6	0	4	6	26
1	12302.5	4	1	5	0	32
2	34965	7	1	3	0	67
1	28490	5	1	6	1	41
1	23310	6	1	5	0	42
1	28490	7	1	5	1	37
0	34965	6	1	6	1	68
1	19425	7	1	5	1	61
1	28490	6	1	5	0	52
2	34965	7	1	5	1	61
1	28490	4	1	8	0	59
1	5827.5	2	0	4	1	44
0	34965	7	1	2	0	45
2	34965	7	1	6	5	40
1	34965	6	1	10	0	42
2	8417.5	7	1	4	2	66
2	42735	6	1	3	20	42
1	34965	7	1	6	2	63
2	19425	2	1	4	0	47
2	34965	6	1	5	2	37
1	4662	7	0	4	1	30
1	28490	5	1	4	2	57
2	62160	9	1	5	20	55
1	62160	7	1	3	8	39
1	23310	8	0	6	0	30
0	16835	6	1	5	1	30
0	28490	6	1	2	0	60
1	51800	5	1	5	2	40
0	34965	7	1	5	4	65
0	8417.5	7	1	5	3	60
0	16835	4	1	5	2	57
1	51800	5	1	5	0	62
0	8417.5	7	1	5	2	24
0	1813	5	1	6	0	24
1	7122.5	6	1	6	1	68
0	8417.5	4	1	3	0	66
0	8417.5	5	1	8	0	46
1	259	2	0	5	2	20
0	8417.5	6	0	6	0	21
2	3885	6	1	5	0	64
1	23310	5	1	10	3	75
0	16835	4	1	6	1	42
0	16835	7	1	5	3	44
0	23310	1	0	4	0	56
2	11007.5	4	1	10	0	57
2	259	3	1	5	0	53
0	16835	5	1	7	0	41
1	28490	6	0	4	5	59
0	4662	4	0	10	2	27
1	14245	5	0	5	2	26
1	259	4	0	4	0	22
0	12302.5	6	0	6	2	25
2	28490	6	0	10	1	29
1	7122.5	9	0	7	1	27
2	16835	3	1	5	2	51
0	11007.5	5	1	7	5	34
0	42735	4	0	3	20	34
0	1813	4	0	4	15	28
0	1036	2	0	5	2	28
0	11007.5	3	1	5	0	68
0	28490	5	1	5	0	55
2	23310	5	1	5	1	67

1	259	5	1	1	0	52
0	11007.5	5	0	3	0	41
0	19425	6	0	6	25	54
1	16835	8	1	7	3	50
0	23310	4	0	5	2	34
0	34965	6	1	10	1	75
0	51800	5	1	5	2	39
0	11007.5	6	1	4	2	64
1	19425	5	1	5	2	50
2	19425	6	1	5	3	47
0	19425	6	1	8	0	52
1	23310	5	1	5	1	31
1	42735	6	1	7	0	63
1	51800	8	1	5	2	45
0	16835	4	1	6	0	67
0	51800	6	1	5	0	72
1	42735	8	1	1	36	33
0	34965	6	1	5	1	31
1	7122.5	5	1	2	0	49
1	28490	5	1	5	0	36
0	34965	6	1	5	1	66
1	28490	4	1	6	0	65
0	19425	6	1	5	4	57
2	42735	7	1	8	0	53
1	42735	8	1	4	1	59
1	72520	9	1	4	7	82
1	5827.5	7	0	7	1	24
1	16835	8	1	4	0	73
1	23310	8	1	2	4	42
1	14245	7	1	4	0	45
1	28490	5	1	7	1	32
1	5827.5	6	1	8	1	33
1	16835	7	1	5	20	52
1	42735	6	1	5	40	49
1	23310	6	1	3	1	22
1	14245	5	1	8	10	35
1	7122.5	6	1	3	2	42
1	34965	6	0	5	3	24
1	7122.5	6	1	9	4	35
1	12302.5	7	1	5	1	52
1	23310	6	1	3	0	46
0	5827.5	6	1	9	0	66
I1	7122.5	1	1	5	0	42
I2	23310	9	1	4	0	43
I3	34965	5	1	5	1	50
R1	7122.5	5	1	7	4	78
D1	5827.5	9	1	5	7	42
